Code,Occupation,Occupation Types
15-2011.00,Actuaries,"Research, Development, Design, and Practitioners"
29-1291.00,Acupuncturists,"Research, Development, Design, and Practitioners"
29-1141.01,Acute Care Nurses,"Research, Development, Design, and Practitioners"
29-1141.02,Advanced Practice Psychiatric Nurses,"Research, Development, Design, and Practitioners"
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Technologists and Technicians
17-2011.00,Aerospace Engineers,"Research, Development, Design, and Practitioners"
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners"
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",Postsecondary Teaching
19-4012.00,Agricultural Technicians,Technologists and Technicians
29-1229.01,Allergists and Immunologists,"Research, Development, Design, and Practitioners"
29-1071.01,Anesthesiologist Assistants,"Research, Development, Design, and Practitioners"
29-1211.00,Anesthesiologists,"Research, Development, Design, and Practitioners"
19-1011.00,Animal Scientists,"Research, Development, Design, and Practitioners"
19-3091.00,Anthropologists and Archeologists,"Research, Development, Design, and Practitioners"
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",Postsecondary Teaching
17-1011.00,"Architects, Except Landscape and Naval","Research, Development, Design, and Practitioners"
17-3011.00,Architectural and Civil Drafters,Technologists and Technicians
11-9041.00,Architectural and Engineering Managers,Managerial
25-1031.00,"Architecture Teachers, Postsecondary",Postsecondary Teaching
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Postsecondary Teaching
29-1129.01,Art Therapists,"Research, Development, Design, and Practitioners"
19-2011.00,Astronomers,"Research, Development, Design, and Practitioners"
29-9091.00,Athletic Trainers,"Research, Development, Design, and Practitioners"
19-2021.00,Atmospheric and Space Scientists,"Research, Development, Design, and Practitioners"
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Postsecondary Teaching
29-1181.00,Audiologists,"Research, Development, Design, and Practitioners"
17-3027.01,Automotive Engineering Technicians,Technologists and Technicians
17-2141.02,Automotive Engineers,"Research, Development, Design, and Practitioners"
19-1021.00,Biochemists and Biophysicists,"Research, Development, Design, and Practitioners"
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial
19-1029.01,Bioinformatics Scientists,"Research, Development, Design, and Practitioners"
15-2099.01,Bioinformatics Technicians,"Research, Development, Design, and Practitioners; Technologists and Technicians"
25-1042.00,"Biological Science Teachers, Postsecondary",Postsecondary Teaching
19-1029.00,"Biological Scientists, All Other","Research, Development, Design, and Practitioners"
19-4021.00,Biological Technicians,Technologists and Technicians
19-1029.04,Biologists,"Research, Development, Design, and Practitioners"
15-2041.01,Biostatisticians,"Research, Development, Design, and Practitioners"
15-1299.07,Blockchain Engineers,"Research, Development, Design, and Practitioners; Technologists and Technicians"
15-2051.01,Business Intelligence Analysts,"Research, Development, Design, and Practitioners"
17-3028.00,Calibration Technologists and Technicians,Technologists and Technicians
29-1212.00,Cardiologists,"Research, Development, Design, and Practitioners"
29-2031.00,Cardiovascular Technologists and Technicians,Technologists and Technicians
17-1021.00,Cartographers and Photogrammetrists,Technologists and Technicians
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners"
19-4031.00,Chemical Technicians,Technologists and Technicians
25-1052.00,"Chemistry Teachers, Postsecondary",Postsecondary Teaching
19-2031.00,Chemists,"Research, Development, Design, and Practitioners"
29-1011.00,Chiropractors,"Research, Development, Design, and Practitioners"
17-3022.00,Civil Engineering Technologists and Technicians,Technologists and Technicians
17-2051.00,Civil Engineers,"Research, Development, Design, and Practitioners"
19-2041.01,Climate Change Policy Analysts,"Research, Development, Design, and Practitioners"
19-3033.00,Clinical and Counseling Psychologists,"Research, Development, Design, and Practitioners"
15-2051.02,Clinical Data Managers,"Research, Development, Design, and Practitioners"
19-3039.03,Clinical Neuropsychologists,"Research, Development, Design, and Practitioners"
29-1141.04,Clinical Nurse Specialists,"Research, Development, Design, and Practitioners"
11-9121.01,Clinical Research Coordinators,Managerial
15-1221.00,Computer and Information Research Scientists,"Research, Development, Design, and Practitioners"
11-3021.00,Computer and Information Systems Managers,Managerial
17-2061.00,Computer Hardware Engineers,"Research, Development, Design, and Practitioners"
15-1241.00,Computer Network Architects,"Research, Development, Design, and Practitioners"
15-1231.00,Computer Network Support Specialists,Technologists and Technicians
15-1299.00,"Computer Occupations, All Other","Research, Development, Design, and Practitioners; Technologists and Technicians"
15-1251.00,Computer Programmers,"Research, Development, Design, and Practitioners"
25-1021.00,"Computer Science Teachers, Postsecondary",Postsecondary Teaching
15-1211.00,Computer Systems Analysts,"Research, Development, Design, and Practitioners"
15-1299.08,Computer Systems Engineers/Architects,"Research, Development, Design, and Practitioners; Technologists and Technicians"
15-1232.00,Computer User Support Specialists,Technologists and Technicians
19-1031.00,Conservation Scientists,"Research, Development, Design, and Practitioners"
29-1141.03,Critical Care Nurses,"Research, Development, Design, and Practitioners"
29-2011.01,Cytogenetic Technologists,Technologists and Technicians
29-2011.02,Cytotechnologists,Technologists and Technicians
15-2051.00,Data Scientists,"Research, Development, Design, and Practitioners"
15-1243.01,Data Warehousing Specialists,"Research, Development, Design, and Practitioners"
15-1242.00,Database Administrators,"Research, Development, Design, and Practitioners"
15-1243.00,Database Architects,"Research, Development, Design, and Practitioners"
29-1292.00,Dental Hygienists,"Research, Development, Design, and Practitioners"
29-1029.00,"Dentists, All Other Specialists","Research, Development, Design, and Practitioners"
29-1021.00,"Dentists, General","Research, Development, Design, and Practitioners"
29-1213.00,Dermatologists,"Research, Development, Design, and Practitioners"
29-2032.00,Diagnostic Medical Sonographers,Technologists and Technicians
29-2051.00,Dietetic Technicians,Technologists and Technicians
29-1031.00,Dietitians and Nutritionists,"Research, Development, Design, and Practitioners"
15-1299.06,Digital Forensics Analysts,"Research, Development, Design, and Practitioners; Technologists and Technicians"
15-1299.03,Document Management Specialists,"Research, Development, Design, and Practitioners; Technologists and Technicians"
17-3019.00,"Drafters, All Other",Technologists and Technicians
25-1063.00,"Economics Teachers, Postsecondary",Postsecondary Teaching
19-3011.00,Economists,"Research, Development, Design, and Practitioners"
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Technologists and Technicians
17-3012.00,Electrical and Electronics Drafters,Technologists and Technicians
17-2071.00,Electrical Engineers,"Research, Development, Design, and Practitioners"
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,Technologists and Technicians
17-2072.00,"Electronics Engineers, Except Computer","Research, Development, Design, and Practitioners"
29-2042.00,Emergency Medical Technicians,Technologists and Technicians
29-1214.00,Emergency Medicine Physicians,"Research, Development, Design, and Practitioners"
17-2199.03,"Energy Engineers, Except Wind and Solar","Research, Development, Design, and Practitioners"
25-1032.00,"Engineering Teachers, Postsecondary",Postsecondary Teaching
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",Technologists and Technicians
17-2199.00,"Engineers, All Other","Research, Development, Design, and Practitioners"
19-3011.01,Environmental Economists,"Research, Development, Design, and Practitioners"
17-3025.00,Environmental Engineering Technologists and Technicians,Technologists and Technicians
17-2081.00,Environmental Engineers,"Research, Development, Design, and Practitioners"
19-2041.02,Environmental Restoration Planners,"Research, Development, Design, and Practitioners"
19-4042.00,"Environmental Science and Protection Technicians, Including Health",Technologists and Technicians
25-1053.00,"Environmental Science Teachers, Postsecondary",Postsecondary Teaching
19-2041.00,"Environmental Scientists and Specialists, Including Health","Research, Development, Design, and Practitioners"
19-1041.00,Epidemiologists,"Research, Development, Design, and Practitioners"
29-1128.00,Exercise Physiologists,"Research, Development, Design, and Practitioners"
29-1215.00,Family Medicine Physicians,"Research, Development, Design, and Practitioners"
17-2111.02,Fire-Prevention and Protection Engineers,"Research, Development, Design, and Practitioners"
19-4013.00,Food Science Technicians,Technologists and Technicians
19-1012.00,Food Scientists and Technologists,"Research, Development, Design, and Practitioners"
19-4092.00,Forensic Science Technicians,Technologists and Technicians
19-4071.00,Forest and Conservation Technicians,Technologists and Technicians
19-1032.00,Foresters,"Research, Development, Design, and Practitioners"
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",Postsecondary Teaching
17-2141.01,Fuel Cell Engineers,"Research, Development, Design, and Practitioners"
29-1216.00,General Internal Medicine Physicians,"Research, Development, Design, and Practitioners"
29-9092.00,Genetic Counselors,"Research, Development, Design, and Practitioners"
19-1029.03,Geneticists,"Research, Development, Design, and Practitioners"
17-1022.01,Geodetic Surveyors,Technologists and Technicians
19-3092.00,Geographers,"Research, Development, Design, and Practitioners"
15-1299.02,Geographic Information Systems Technologists and Technicians,"Research, Development, Design, and Practitioners; Technologists and Technicians"
25-1064.00,"Geography Teachers, Postsecondary",Postsecondary Teaching
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",Technologists and Technicians
19-2042.00,"Geoscientists, Except Hydrologists and Geographers","Research, Development, Design, and Practitioners"
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Research, Development, Design, and Practitioners"
15-1211.01,Health Informatics Specialists,"Research, Development, Design, and Practitioners"
29-9021.00,Health Information Technologists and Medical Registrars,"Research, Development, Design, and Practitioners; Technologists and Technicians"
25-1071.00,"Health Specialties Teachers, Postsecondary",Postsecondary Teaching
29-2099.00,"Health Technologists and Technicians, All Other",Technologists and Technicians
29-1299.00,"Healthcare Diagnosing or Treating Practitioners, All Other","Research, Development, Design, and Practitioners"
29-9099.00,"Healthcare Practitioners and Technical Workers, All Other","Research, Development, Design, and Practitioners; Technologists and Technicians"
29-2092.00,Hearing Aid Specialists,Technologists and Technicians
29-2012.01,Histology Technicians,Technologists and Technicians
29-2011.04,Histotechnologists,Technologists and Technicians
29-1229.02,Hospitalists,"Research, Development, Design, and Practitioners"
17-2112.01,Human Factors Engineers and Ergonomists,"Research, Development, Design, and Practitioners"
19-4044.00,Hydrologic Technicians,Technologists and Technicians
19-2043.00,Hydrologists,"Research, Development, Design, and Practitioners"
19-2041.03,Industrial Ecologists,"Research, Development, Design, and Practitioners"
17-3026.00,Industrial Engineering Technologists and Technicians,Technologists and Technicians
17-2112.00,Industrial Engineers,"Research, Development, Design, and Practitioners"
19-3032.00,Industrial-Organizational Psychologists,"Research, Development, Design, and Practitioners"
15-1212.00,Information Security Analysts,"Research, Development, Design, and Practitioners"
15-1299.05,Information Security Engineers,"Research, Development, Design, and Practitioners; Technologists and Technicians"
15-1299.09,Information Technology Project Managers,"Research, Development, Design, and Practitioners; Technologists and Technicians"
17-1012.00,Landscape Architects,"Research, Development, Design, and Practitioners"
29-2061.00,Licensed Practical and Licensed Vocational Nurses,Technologists and Technicians
19-1099.00,"Life Scientists, All Other","Research, Development, Design, and Practitioners"
19-4099.00,"Life, Physical, and Social Science Technicians, All Other",Technologists and Technicians
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists","Research, Development, Design, and Practitioners"
29-2035.00,Magnetic Resonance Imaging Technologists,Technologists and Technicians
17-2112.03,Manufacturing Engineers,"Research, Development, Design, and Practitioners"
17-2121.00,Marine Engineers and Naval Architects,"Research, Development, Design, and Practitioners"
17-2131.00,Materials Engineers,"Research, Development, Design, and Practitioners"
19-2032.00,Materials Scientists,"Research, Development, Design, and Practitioners"
15-2099.00,"Mathematical Science Occupations, All Other","Research, Development, Design, and Practitioners; Technologists and Technicians"
25-1022.00,"Mathematical Science Teachers, Postsecondary",Postsecondary Teaching
15-2021.00,Mathematicians,"Research, Development, Design, and Practitioners"
17-3013.00,Mechanical Drafters,Technologists and Technicians
17-3027.00,Mechanical Engineering Technologists and Technicians,Technologists and Technicians
17-2141.00,Mechanical Engineers,"Research, Development, Design, and Practitioners"
17-2199.05,Mechatronics Engineers,"Research, Development, Design, and Practitioners"
29-2012.00,Medical and Clinical Laboratory Technicians,Technologists and Technicians
29-2011.00,Medical and Clinical Laboratory Technologists,Technologists and Technicians
11-9111.00,Medical and Health Services Managers,Managerial
29-2036.00,Medical Dosimetrists,Technologists and Technicians
29-2072.00,Medical Records Specialists,Technologists and Technicians
19-1042.00,"Medical Scientists, Except Epidemiologists","Research, Development, Design, and Practitioners"
19-1022.00,Microbiologists,"Research, Development, Design, and Practitioners"
17-2199.06,Microsystems Engineers,"Research, Development, Design, and Practitioners"
29-9099.01,Midwives,"Research, Development, Design, and Practitioners; Technologists and Technicians"
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers","Research, Development, Design, and Practitioners"
19-1029.02,Molecular and Cellular Biologists,"Research, Development, Design, and Practitioners"
29-1129.02,Music Therapists,"Research, Development, Design, and Practitioners"
17-2199.09,Nanosystems Engineers,"Research, Development, Design, and Practitioners"
17-3026.01,Nanotechnology Engineering Technologists and Technicians,Technologists and Technicians
11-9121.00,Natural Sciences Managers,Managerial
29-1299.01,Naturopathic Physicians,"Research, Development, Design, and Practitioners"
15-1244.00,Network and Computer Systems Administrators,"Research, Development, Design, and Practitioners"
29-2099.01,Neurodiagnostic Technologists,Technologists and Technicians
29-1217.00,Neurologists,"Research, Development, Design, and Practitioners"
19-3039.02,Neuropsychologists,"Research, Development, Design, and Practitioners"
17-3029.01,Non-Destructive Testing Specialists,Technologists and Technicians
17-2161.00,Nuclear Engineers,"Research, Development, Design, and Practitioners"
29-2033.00,Nuclear Medicine Technologists,Technologists and Technicians
19-4051.02,Nuclear Monitoring Technicians,Technologists and Technicians
19-4051.00,Nuclear Technicians,Technologists and Technicians
29-1151.00,Nurse Anesthetists,"Research, Development, Design, and Practitioners"
29-1161.00,Nurse Midwives,"Research, Development, Design, and Practitioners"
29-1171.00,Nurse Practitioners,"Research, Development, Design, and Practitioners"
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Postsecondary Teaching
29-1218.00,Obstetricians and Gynecologists,"Research, Development, Design, and Practitioners"
29-1122.00,Occupational Therapists,"Research, Development, Design, and Practitioners"
15-2031.00,Operations Research Analysts,"Research, Development, Design, and Practitioners"
29-2057.00,Ophthalmic Medical Technicians,Technologists and Technicians
29-2099.05,Ophthalmic Medical Technologists,Technologists and Technicians
29-1241.00,"Ophthalmologists, Except Pediatric","Research, Development, Design, and Practitioners"
29-2081.00,"Opticians, Dispensing",Technologists and Technicians
29-1041.00,Optometrists,"Research, Development, Design, and Practitioners"
29-1022.00,Oral and Maxillofacial Surgeons,"Research, Development, Design, and Practitioners"
29-1023.00,Orthodontists,"Research, Development, Design, and Practitioners"
29-1242.00,"Orthopedic Surgeons, Except Pediatric","Research, Development, Design, and Practitioners"
29-1299.02,Orthoptists,"Research, Development, Design, and Practitioners"
29-2091.00,Orthotists and Prosthetists,Technologists and Technicians
29-2043.00,Paramedics,Technologists and Technicians
19-1031.03,Park Naturalists,"Research, Development, Design, and Practitioners"
29-2099.08,Patient Representatives,Technologists and Technicians
29-1243.00,Pediatric Surgeons,"Research, Development, Design, and Practitioners"
29-1221.00,"Pediatricians, General","Research, Development, Design, and Practitioners"
15-1299.04,Penetration Testers,"Research, Development, Design, and Practitioners; Technologists and Technicians"
17-2171.00,Petroleum Engineers,"Research, Development, Design, and Practitioners"
29-1051.00,Pharmacists,"Research, Development, Design, and Practitioners"
29-2052.00,Pharmacy Technicians,Technologists and Technicians
17-2199.07,Photonics Engineers,"Research, Development, Design, and Practitioners"
17-3029.08,Photonics Technicians,Technologists and Technicians
29-1229.04,Physical Medicine and Rehabilitation Physicians,"Research, Development, Design, and Practitioners"
19-2099.00,"Physical Scientists, All Other","Research, Development, Design, and Practitioners"
29-1123.00,Physical Therapists,"Research, Development, Design, and Practitioners"
29-1071.00,Physician Assistants,"Research, Development, Design, and Practitioners"
29-1229.00,"Physicians, All Other","Research, Development, Design, and Practitioners"
29-1222.00,"Physicians, Pathologists","Research, Development, Design, and Practitioners"
19-2012.00,Physicists,"Research, Development, Design, and Practitioners"
25-1054.00,"Physics Teachers, Postsecondary",Postsecondary Teaching
29-1081.00,Podiatrists,"Research, Development, Design, and Practitioners"
25-1065.00,"Political Science Teachers, Postsecondary",Postsecondary Teaching
19-3094.00,Political Scientists,"Research, Development, Design, and Practitioners"
19-4012.01,Precision Agriculture Technicians,Technologists and Technicians
29-1229.05,Preventive Medicine Physicians,"Research, Development, Design, and Practitioners"
29-1024.00,Prosthodontists,"Research, Development, Design, and Practitioners"
29-2053.00,Psychiatric Technicians,Technologists and Technicians
29-1223.00,Psychiatrists,"Research, Development, Design, and Practitioners"
19-3039.00,"Psychologists, All Other","Research, Development, Design, and Practitioners"
25-1066.00,"Psychology Teachers, Postsecondary",Postsecondary Teaching
19-4099.01,Quality Control Analysts,Technologists and Technicians
29-1124.00,Radiation Therapists,"Research, Development, Design, and Practitioners"
17-2072.01,Radio Frequency Identification Device Specialists,"Research, Development, Design, and Practitioners"
29-2034.00,Radiologic Technologists and Technicians,Technologists and Technicians
29-1224.00,Radiologists,"Research, Development, Design, and Practitioners"
19-1031.02,Range Managers,"Research, Development, Design, and Practitioners"
29-1125.00,Recreational Therapists,"Research, Development, Design, and Practitioners"
29-1141.00,Registered Nurses,"Research, Development, Design, and Practitioners"
19-2099.01,Remote Sensing Scientists and Technologists,"Research, Development, Design, and Practitioners"
19-4099.03,Remote Sensing Technicians,Technologists and Technicians
29-1126.00,Respiratory Therapists,"Research, Development, Design, and Practitioners"
17-2199.08,Robotics Engineers,"Research, Development, Design, and Practitioners"
17-3024.01,Robotics Technicians,Technologists and Technicians
41-9031.00,Sales Engineers,Sales
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales
19-3034.00,School Psychologists,"Research, Development, Design, and Practitioners"
19-4061.00,Social Science Research Assistants,Technologists and Technicians
25-1069.00,"Social Sciences Teachers, Postsecondary, All Other",Postsecondary Teaching
19-3099.00,"Social Scientists and Related Workers, All Other","Research, Development, Design, and Practitioners"
19-3041.00,Sociologists,"Research, Development, Design, and Practitioners"
25-1067.00,"Sociology Teachers, Postsecondary",Postsecondary Teaching
15-1252.00,Software Developers,"Research, Development, Design, and Practitioners"
15-1253.00,Software Quality Assurance Analysts and Testers,"Research, Development, Design, and Practitioners"
19-1013.00,Soil and Plant Scientists,"Research, Development, Design, and Practitioners"
17-2199.11,Solar Energy Systems Engineers,"Research, Development, Design, and Practitioners"
41-4011.07,Solar Sales Representatives and Assessors,Sales
29-1127.00,Speech-Language Pathologists,"Research, Development, Design, and Practitioners"
29-1229.06,Sports Medicine Physicians,"Research, Development, Design, and Practitioners"
15-2041.00,Statisticians,"Research, Development, Design, and Practitioners"
29-1249.00,"Surgeons, All Other","Research, Development, Design, and Practitioners"
29-9093.00,Surgical Assistants,"Research, Development, Design, and Practitioners"
29-2055.00,Surgical Technologists,Technologists and Technicians
19-3022.00,Survey Researchers,"Research, Development, Design, and Practitioners"
17-3031.00,Surveying and Mapping Technicians,Technologists and Technicians
17-1022.00,Surveyors,Technologists and Technicians
15-1241.01,Telecommunications Engineering Specialists,"Research, Development, Design, and Practitioners"
29-1129.00,"Therapists, All Other","Research, Development, Design, and Practitioners"
17-2051.01,Transportation Engineers,"Research, Development, Design, and Practitioners"
19-3099.01,Transportation Planners,"Research, Development, Design, and Practitioners"
19-3051.00,Urban and Regional Planners,"Research, Development, Design, and Practitioners"
29-1229.03,Urologists,"Research, Development, Design, and Practitioners"
17-2112.02,Validation Engineers,"Research, Development, Design, and Practitioners"
29-1131.00,Veterinarians,"Research, Development, Design, and Practitioners"
29-2056.00,Veterinary Technologists and Technicians,Technologists and Technicians
15-1255.01,Video Game Designers,"Research, Development, Design, and Practitioners"
11-9121.02,Water Resource Specialists,Managerial
17-2051.02,Water/Wastewater Engineers,"Research, Development, Design, and Practitioners"
15-1299.01,Web Administrators,"Research, Development, Design, and Practitioners; Technologists and Technicians"
15-1255.00,Web and Digital Interface Designers,"Research, Development, Design, and Practitioners"
15-1254.00,Web Developers,"Research, Development, Design, and Practitioners"
17-2199.10,Wind Energy Engineers,"Research, Development, Design, and Practitioners"
19-1023.00,Zoologists and Wildlife Biologists,"Research, Development, Design, and Practitioners"
