Profile Id,Profile Name,User,Work Scheduling Autonomy, Work Scheduling Autonomy I,Decision Making Autonomy,Decision Making Autonomy I,Work Methods Autonomy,Work Methods Autonomy I,Task Variety,Task Variety I,Task Significance,Task Significance I,Task Identity,Task Identity I,Feedback from Job,Feedback from Job I,Job Complexity,Job Complexity I,Information Processing,Information Processing I,Problem Solving,Problem Solving I,Skill Variety,Skill Variety I,Specialization,Specialization I,Social Support,Social Support I,Initiated Interdependence,Initiated Interdependence I,Received Interdependence,Received Interdependence I,Interaction Outside Research Group,Interaction Outside Research Group I,Feedback from Others,Feedback from Others I,Faculty/project leader feedback,Faculty/project leader feedback I,Peer Feedback,Peer Feedback I,Ergonomics,Ergonomics I,Physical Demands,Physical Demands I,Work Conditions,Work Conditions I,Equipment Use,Equipment Use I
1,Dream Job,1,3,5,3,3,5,4,5,5,3,4,4,5,1,3,4,4,3,3,1,2,2,5,3,3,3,6,3,2,3,0,2,7,1,4,2,1,7,6,7,6,7,0,1,6,1,5
2,Professional Development,1,2,1,3,2,5,6,5,0,4,7,4,7,4,1,1,3,2,4,3,4,3,2,3,4,3,1,3,6,3,0,1,6,1,3,1,2,7,0,7,1,7,5,6,7,5,7
3,Dream Job,2,5,0,5,1,3,3,5,5,4,5,4,5,2,7,4,0,1,6,3,5,1,7,3,5,3,2,3,0,1,1,2,5,2,4,1,7,7,0,7,6,1,0,6,1,5,4
4,What I like,2,2,3,5,2,3,4,1,6,4,5,2,2,4,7,4,5,3,2,1,2,3,0,1,6,3,2,1,1,3,4,2,1,2,0,2,6,1,0,7,0,1,7,6,0,5,5
5,Dream Job,3,5,7,5,4,5,7,2,3,1,2,4,0,4,2,4,6,5,3,3,0,1,3,3,3,1,4,3,4,3,2,2,3,2,1,2,4,7,6,7,0,7,5,6,3,5,3
6,Best Internship,5,5,1,2,2,5,1,5,1,3,1,4,6,4,5,5,7,5,7,1,7,3,0,1,4,3,1,3,0,3,6,5,6,5,6,2,4,7,3,7,4,7,2,1,3,1,1
7,Dream Job,6,2,0,5,0,5,4,5,1,4,3,3,7,5,1,1,6,3,4,5,3,3,1,1,1,1,4,3,7,5,2,1,7,1,3,5,5,7,2,7,4,7,2,5,2,5,2
8,My Internship,7,5,6,3,3,5,3,5,6,4,5,5,1,3,4,4,0,3,3,3,1,5,7,3,5,3,7,1,1,1,6,2,4,2,3,1,4,5,5,7,0,1,0,6,3,5,4
9,High Tech Career,8,5,0,3,0,5,5,5,1,4,2,5,6,4,1,3,6,3,6,3,4,3,0,5,4,3,6,5,1,1,7,2,4,2,0,2,7,1,1,7,5,1,2,6,4,5,2
10,High Tech Career,9,5,4,5,6,3,0,3,4,1,6,4,2,4,6,4,5,3,3,3,3,3,0,3,3,1,6,3,5,3,3,1,6,2,3,2,4,7,0,7,0,7,2,6,1,5,7
11,Lab Tech Job,9,3,7,3,7,5,2,5,0,3,3,4,0,4,7,4,1,3,7,3,1,3,1,3,1,3,0,3,4,3,3,2,1,1,0,2,6,7,2,7,7,7,3,1,0,1,5
12,Dream Job,10,5,7,3,0,5,3,5,6,4,5,3,4,4,1,1,7,3,4,3,1,3,1,3,4,3,3,3,6,3,5,1,7,1,0,1,7,7,7,7,2,7,0,6,1,5,1
13,Work-life balance,10,4,1,4,2,4,6,4,2,4,6,3,3,4,3,4,3,4,6,4,3,4,3,4,6,4,0,4,6,1,7,4,6,4,2,4,4,4,5,4,2,4,5,4,0,4,1
14,My future career,10,5,6,5,4,3,0,1,6,4,0,1,6,3,4,4,4,3,4,3,7,3,0,3,2,3,7,1,0,3,5,2,3,2,2,2,5,1,0,7,3,1,2,6,7,5,6
15,Dream Job,14,5,5,5,5,5,1,3,1,3,6,4,1,4,2,3,3,3,5,3,5,3,4,3,3,1,4,3,5,3,0,2,7,2,2,2,0,7,1,1,7,7,1,6,4,5,7
16,Dream Job,15,5,5,5,4,5,7,5,0,4,5,3,1,4,2,5,2,5,5,3,5,3,5,3,0,3,5,3,2,3,5,5,1,5,5,2,1,7,2,7,0,1,7,1,2,1,0
17,Work-life balance,15,5,4,5,7,5,1,5,0,4,5,4,6,3,6,1,1,3,5,5,2,3,7,3,2,3,0,3,6,5,6,3,6,3,2,5,1,7,2,7,6,1,0,5,5,5,2
18,Future Career,17,5,4,5,1,5,4,5,5,4,1,5,5,1,0,3,0,3,5,3,0,5,1,3,4,3,1,5,7,1,4,2,2,2,0,3,6,5,1,7,5,1,3,1,6,5,5
19,Dream Job,20,7,1,7,2,7,6,7,6,7,6,7,6,7,1,7,3,7,1,7,5,7,2,7,5,7,1,7,5,7,4,7,7,7,1,7,1,7,1,7,1,7,4,7,4,7,0
20,Things I would like to avoid,21,5,2,5,7,5,6,5,3,1,2,4,5,4,0,4,6,3,7,3,0,3,1,3,2,3,0,3,3,3,3,2,6,2,2,2,3,3,1,3,2,7,0,6,3,5,1
21,Dream Job,21,1,6,5,5,5,4,5,7,4,1,4,3,4,3,4,6,3,7,3,3,3,3,3,3,3,0,3,4,3,4,2,6,1,3,2,3,7,3,7,7,3,2,1,7,1,4
22,Dream Job,22,5,0,1,2,5,4,5,3,4,3,4,2,4,2,1,4,3,3,3,4,3,7,3,4,3,6,3,2,3,3,3,0,1,7,7,7,7,3,7,6,7,1,6,3,3,3
23,After graduation,10,5,3,5,7,1,3,5,6,4,0,4,0,1,2,4,4,3,6,3,2,1,1,3,5,3,0,3,5,1,3,2,3,7,3,1,0,7,5,7,0,1,3,6,0,5,6
24,Bad Jobs,23,5,3,5,2,5,3,1,6,4,6,1,7,4,3,4,2,3,2,3,4,3,0,1,1,3,7,7,5,3,4,7,1,2,7,3,7,1,1,7,0,1,2,6,2,3,6
25,Dream Job,25,5,3,5,3,5,7,5,6,1,7,4,2,4,5,4,1,5,3,3,5,3,2,3,7,7,2,3,6,3,5,2,4,2,3,2,4,3,0,7,7,7,6,6,2,3,6
26,After graduation,4,1,6,1,6,1,4,5,4,1,4,1,6,1,3,1,4,1,0,1,7,1,2,1,0,1,7,1,7,1,7,1,5,1,6,1,0,1,2,1,5,1,1,1,4,1,1
27,Career,4,5,3,5,3,5,5,5,6,4,1,4,6,5,1,1,7,3,4,5,5,3,3,7,1,3,5,3,3,5,4,1,5,1,1,5,2,7,6,7,7,3,7,5,1,5,2
28,Bad Jobs,5,5,1,5,7,5,6,5,0,4,5,5,4,1,1,4,5,3,2,3,4,7,5,3,1,3,4,5,3,1,0,2,0,3,4,1,7,5,2,3,7,1,2,3,7,5,3
29,Dream Job,7,5,7,5,4,5,7,5,5,4,6,5,3,4,4,4,4,3,1,7,3,3,1,5,1,3,6,5,3,3,7,2,6,3,1,2,7,1,5,3,1,1,6,6,1,3,7
30,Career 1,7,5,5,5,2,5,3,5,7,1,2,4,1,4,4,4,6,7,1,3,0,3,3,3,7,1,0,3,1,3,3,2,3,3,7,2,4,3,3,7,0,7,2,6,4,2,5
31,Career 2,7,3,5,5,6,5,5,5,7,4,3,4,0,7,2,7,3,3,0,1,3,3,1,3,4,3,0,3,2,3,6,2,1,1,3,2,7,7,0,7,6,2,6,2,4,1,1
32,Work-life balance,8,4,6,3,1,4,6,43,0,3,5,4,0,3,2,4,4,3,5,4,5,3,6,4,3,3,5,3,7,3,0,4,0,3,1,4,3,3,7,4,1,3,5,4,2,3,6
33,I do not want to work,10,5,4,5,2,3,5,5,3,7,3,4,7,1,5,4,3,3,1,3,1,1,3,3,0,3,4,3,2,1,6,2,1,2,4,1,2,2,7,7,2,1,1,6,5,5,0
34,Work-life balance,11,2,3,5,3,3,2,7,6,4,6,1,2,4,0,4,0,3,5,3,5,3,2,1,0,3,1,1,5,3,4,2,7,2,2,2,6,1,2,7,1,1,6,6,1,5,2
35,I do not want to work,12,5,5,5,4,7,5,3,7,1,4,4,6,4,0,4,3,5,5,3,1,3,1,3,1,1,3,3,5,3,7,2,4,2,5,2,5,7,7,7,1,7,5,6,3,5,4
36,If i did want to work,12,5,6,7,7,5,5,5,7,3,1,4,2,4,4,5,3,5,1,1,7,3,3,3,2,3,2,3,3,3,0,2,6,5,0,2,0,7,6,7,6,7,7,1,0,1,6
37,Job in sunny California,13,7,7,5,4,5,2,5,0,4,1,3,4,5,2,1,2,3,2,5,0,3,5,3,4,3,6,2,3,2,5,1,2,1,0,5,7,7,4,7,1,7,3,5,1,5,0
38,My Career plan ,16,7,2,5,5,5,0,5,0,4,2,5,3,3,7,4,7,3,1,3,6,5,7,3,5,2,1,5,6,1,6,2,4,2,1,1,4,5,1,7,5,1,6,6,4,5,7
39,In search of a good job,17,7,6,7,7,5,3,5,3,4,2,5,7,4,0,3,3,3,6,3,2,3,2,2,6,3,7,5,6,3,0,2,3,2,4,2,7,1,6,7,2,1,4,6,6,5,3
40,Active job,18,5,4,5,6,7,3,5,5,1,7,4,4,4,7,4,2,3,7,3,0,2,2,3,7,1,5,3,3,3,0,2,7,2,3,2,3,7,0,7,5,7,7,6,5,5,5
41,Job #4,19,3,3,3,4,5,7,7,7,4,1,4,0,4,2,4,4,3,2,2,3,3,0,3,0,3,5,3,6,3,6,2,7,1,7,2,2,7,4,7,3,7,1,1,6,1,3
42,Profile #5,20,5,2,3,1,5,7,5,4,7,4,4,1,4,6,1,7,2,1,3,1,3,1,3,7,3,1,3,6,3,1,1,1,1,4,1,7,7,7,7,5,7,4,6,0,5,4
43,Yawn,24,5,0,5,0,1,2,5,3,7,3,4,1,1,0,2,3,3,3,3,5,1,5,3,5,3,3,3,0,1,4,2,2,2,3,1,2,7,4,7,1,1,2,6,0,5,0
44,CEO track,24,5,0,5,4,3,0,1,6,4,4,7,7,2,2,4,4,3,2,3,4,3,2,3,5,3,4,1,3,3,2,2,4,2,7,2,5,1,7,7,4,1,0,6,7,5,0
45,I do not want to work,25,5,2,5,7,5,4,3,2,3,7,2,0,7,3,4,5,5,7,3,0,3,4,3,5,1,1,3,1,3,3,2,0,2,1,2,1,7,5,7,4,7,7,6,4,5,2
46,Job #2,12,5,3,5,7,5,7,5,4,2,4,3,4,4,2,7,5,7,7,1,1,3,6,3,6,3,2,3,3,3,0,5,5,5,7,2,0,7,6,7,3,7,1,1,0,1,7
47,My last profile,12,5,6,5,7,5,5,2,6,4,1,4,7,3,1,1,3,3,5,7,0,3,7,3,0,3,6,3,3,5,0,3,3,3,2,5,0,7,5,7,4,7,6,5,3,5,5
48,Huh,22,5,0,5,1,2,0,5,6,4,7,5,1,1,2,3,2,3,1,3,0,7,4,3,6,3,2,5,1,1,1,2,6,2,1,3,0,5,5,7,0,1,2,6,7,5,0
49,Huh 2,22,5,3,2,2,5,5,5,3,4,6,5,2,4,5,4,0,3,7,3,0,3,1,7,4,3,6,5,2,3,3,2,5,2,7,2,5,1,0,7,5,1,3,6,4,5,7
50,Work-life balance,23,2,6,5,6,5,4,5,3,1,7,4,0,4,0,4,6,3,4,3,2,3,7,3,0,7,4,3,5,3,5,2,5,2,7,2,3,3,3,3,7,7,6,6,7,5,1