Items,Work Scheduling Autonomy,Decision Making Autonomy,Work Methods Autonomy,Task Variety,Task Significance,Task Identity,Feedback from Job,Job Complexity,Information Processing,Problem Solving,Skill Variety,Specialization,Social Support,Initiated Interdependence ,Received Interdependence,Interaction Outside Research Group,Feedback from Others,Faculty/projecdt leader feedback,Peer Feedback,Ergonomics,Physical Demands,Work Conditions,Equipment Use
Fake Case 1,3,3,5,5,3,4,1,4,3,1,2,3,3,3,3,2,1,2,7,7,7,1,1
Fake Case 2,2,3,5,5,4,4,4,1,2,3,3,3,3,3,3,1,1,1,7,7,7,6,5
Fake Case 3,5,5,3,5,4,4,2,4,1,3,1,3,3,3,1,2,2,1,7,7,1,6,5
Fake Case 4,2,5,3,1,4,2,4,4,3,1,3,1,3,1,3,2,2,2,1,7,1,6,5
Fake Case 5,5,5,5,2,1,4,4,4,5,3,1,3,1,3,3,2,2,2,7,7,7,6,5
Fake Case 6,5,2,5,5,3,4,4,5,5,1,3,1,3,3,3,5,5,2,7,7,7,1,1
Fake Case 7,2,5,5,5,4,3,5,1,3,5,3,1,1,3,5,1,1,5,7,7,7,5,5
Fake Case 8,5,3,5,5,4,5,3,4,3,3,5,3,3,1,1,2,2,1,5,7,1,6,5
Fake Case 9,5,3,5,5,4,5,4,3,3,3,3,5,3,5,1,2,2,2,1,7,1,6,5
Fake Case 10,5,5,3,3,1,4,4,4,3,3,3,3,1,3,3,1,2,2,7,7,7,6,5
Fake Case 11,3,3,5,5,3,4,4,4,3,3,3,3,3,3,3,2,1,2,7,7,7,1,1
Fake Case 12,5,3,5,5,4,3,4,1,3,3,3,3,3,3,3,1,1,1,7,7,7,6,5
Fake Case 13,4,4,4,4,4,3,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4
Fake Case 14,5,5,3,1,4,1,3,4,3,3,3,3,3,1,3,2,2,2,1,7,1,6,5
Fake Case 15,5,5,5,3,3,4,4,3,3,3,3,3,1,3,3,2,2,2,7,1,7,6,5
Fake Case 16,5,5,5,5,4,3,4,5,5,3,3,3,3,3,3,5,5,2,7,7,1,1,1
Fake Case 17,5,5,5,5,4,4,3,1,3,5,3,3,3,3,5,3,3,5,7,7,1,5,5
Fake Case 18,5,5,5,5,4,5,1,3,3,3,5,3,3,5,1,2,2,3,5,7,1,1,5
Fake Case 19,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Fake Case 20,5,5,5,5,1,4,4,4,3,3,3,3,3,3,3,2,2,2,3,3,7,6,5
Fake Case 21,1,5,5,5,4,4,4,4,3,3,3,3,3,3,3,2,1,2,7,7,3,1,1
Fake Case 22,5,1,5,5,4,4,4,1,3,3,3,3,3,3,3,3,1,7,7,7,7,6,3
Fake Case 23,5,5,1,5,4,4,1,4,3,3,1,3,3,3,1,2,7,1,7,7,1,6,5
Fake Case 24,5,5,5,1,4,1,4,4,3,3,3,1,3,7,3,7,2,3,1,7,1,6,3
Fake Case 25,5,5,5,5,1,4,4,4,5,3,3,3,7,3,3,2,2,2,3,7,7,6,3
Fake Case 26,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fake Case 27,5,5,5,5,4,4,5,1,3,5,3,7,3,3,5,1,1,5,7,7,3,5,5
Fake Case 28,5,5,5,5,4,5,1,4,3,3,7,3,3,5,1,2,3,1,5,3,1,3,5
Fake Case 29,5,5,5,5,4,5,4,4,3,7,3,5,3,5,3,2,3,2,1,3,1,6,3
Fake Case 30,5,5,5,5,1,4,4,4,7,3,3,3,1,3,3,2,3,2,3,7,7,6,2
Fake Case 31,3,5,5,5,4,4,7,7,3,1,3,3,3,3,3,2,1,2,7,7,2,2,1
Fake Case 32,4,3,4,43,3,4,3,4,3,4,3,4,3,3,3,4,3,4,3,4,3,4,3
Fake Case 33,5,5,3,5,7,4,1,4,3,3,1,3,3,3,1,2,2,1,2,7,1,6,5
Fake Case 34,2,5,3,7,4,1,4,4,3,3,3,1,3,1,3,2,2,2,1,7,1,6,5
Fake Case 35,5,5,7,3,1,4,4,4,5,3,3,3,1,3,3,2,2,2,7,7,7,6,5
Fake Case 36,5,7,5,5,3,4,4,5,5,1,3,3,3,3,3,2,5,2,7,7,7,1,1
Fake Case 37,7,5,5,5,4,3,5,1,3,5,3,3,3,2,2,1,1,5,7,7,7,5,5
Fake Case 38,7,5,5,5,4,5,3,4,3,3,5,3,2,5,1,2,2,1,5,7,1,6,5
Fake Case 39,7,7,5,5,4,5,4,3,3,3,3,2,3,5,3,2,2,2,1,7,1,6,5
Fake Case 40,5,5,7,5,1,4,4,4,3,3,2,3,1,3,3,2,2,2,7,7,7,6,5
Fake Case 41,3,3,5,7,4,4,4,4,3,2,3,3,3,3,3,2,1,2,7,7,7,1,1
Fake Case 42,5,3,5,5,7,4,4,1,2,3,3,3,3,3,3,1,1,1,7,7,7,6,5
Fake Case 43,5,5,1,5,7,4,1,2,3,3,1,3,3,3,1,2,2,1,7,7,1,6,5
Fake Case 44,5,5,3,1,4,7,2,4,3,3,3,3,3,1,3,2,2,2,1,7,1,6,5
Fake Case 45,5,5,5,3,3,2,7,4,5,3,3,3,1,3,3,2,2,2,7,7,7,6,5
Fake Case 46,5,5,5,5,2,3,4,7,7,1,3,3,3,3,3,5,5,2,7,7,7,1,1
Fake Case 47,5,5,5,2,4,4,3,1,3,7,3,3,3,3,5,3,3,5,7,7,7,5,5
Fake Case 48,5,5,2,5,4,5,1,3,3,3,7,3,3,5,1,2,2,3,5,7,1,6,5
Fake Case 49,5,2,5,5,4,5,4,4,3,3,3,7,3,5,3,2,2,2,1,7,1,6,5
Fake Case 50,2,5,5,5,1,4,4,4,3,3,3,3,7,3,3,2,2,2,3,3,7,6,5