ID,Dimension,Characteristc,Description
1,Task Characteristics,Work Scheduling Autonomy,"Work scheduling autonomy means that you are able to determine when, and the order in which, you complete your work tasks without having to check in with a supervisor or coworkers."
2,Task Characteristics,Decision Making Autonomy,Decision making autonomy means that you are able to make decisions about various aspects of your work without having to check in with a supervisor or coworkers.
3,Task Characteristics,Work Methods Autonomy,Work methods autonomy means that you are able to choose the approach and methods you use for your work without having to check in with a supervisor or coworker.
4,Task Characteristics,Task Variety,"Task variety means that the work you do involves a lot of different kinds tasks and activities, with relatively little time spent doing the same things over and over."
5,Task Characteristics,Task Significance,Task significance means that the work that you do has â€“ or can have â€“ an important direct or indirect impact on the lives of other people.
6,Task Characteristics,Task Identity,"Task identity means that your work has an identifiable stating point, and ending point, so you know when youâ€™ve â€˜finishedâ€™ something."
7,Task Characteristics,Feedback from Job,Feedback from the job means that your work provides you with clear information relating to the quality and quantity of your job performance.
8,Knowledge Characteristics,Job Complexity,"Job complexity means that your job requires you to work on multiple, often complicated, tasks simultaneously."
9,Knowledge Characteristics,Information Processing,Information processing means that your job requires you to keep track of and analyze a large amount of information in order to complete your work.
10,Knowledge Characteristics,Problem Solving,Problem solving means that your job requires you be creative in finding solutions to problems with no conspicuous or obvious answer.
11,Knowledge Characteristics,Skill Variety,Skill variety means that your job requires you to use a range of different or high-level skills to complete your work tasks.
12,Knowledge Characteristics,Specialization,"Specialization means that your job requires you to have well-developed knowledge, and a focused set of skills, in order to complete your work."
13,Social characteristics,Social Support,Social support means that your job provides you with the opportunity to develop meaningful personal connections with your coworkers.
14,Social characteristics,Initiated Interdependence,"Initiated interdependence means that for others to complete their work, including coworkers, depends on you getting your work done first."
15,Social characteristics,Received Interdependence,"Received interdependence means that in order for you to complete your work that others, including coworkers, must complete their work first."
16,Social characteristics,Interaction Outside Research Group,Interaction outside the research group means that your job requires you to have frequent interactions and communication with people outside of your team or group in order to complete your work.
17,Social characteristics,Faculty/project leader feedback,"Faculty/project leader feedback means that, while on the job, your faculty/project leader provides you with useful information about your work performance."
18,Social characteristics,Peer Feedback,"Peer feedback means that, while on the job, your peers provide you with useful information about your work performance"
19,Work Context,Ergonomics,"Ergonomics means that the physical configuration of your work space is generally comfortable, can accommodate a range of different body types, and doesnâ€™t contribute to physical strain or discomfort."
20,Work Context,Physical Demands,"Physical demands means that, while on the job, a great deal of physical effort is necessary to complete your work tasks."
21,Work Context,Work Conditions,Work conditions means that the physical setting where you do your job tasks is generally free from uncomfortable or dangerous conditions.
22,Work Context,Equipment Use,"Equipment use means that, while on the job, your work requires you to use a number of different kinds of equipment to complete your work tasks."
23,Work Context,Setting,"Work setting can vary in regards to how time is spent between the laboratory (working with reagents and equipment), computers (working with files), fieldwork (collecting samples or making observations in the natural environment) and working with people (teaching, sales, management work)."
25,Social characteristics,Feedback from Others,"Feedback from others means that, while on the job, coworkers and supervisors provide you with useful information about your work performance."